directory,base_name,replicated_n,strain,worm_id,day,ventral_orientation,timestamp,id
/Volumes/behavgenom_archive$/Celine/results/CB1112,24_R#1_CB1112#4_day7_CCW_2014_02_28__09_56_00___8___5,1,CB1112,4,7,CCW,2014-02-28 09:56:00,15
/Volumes/behavgenom_archive$/Celine/results/CB1112,24_R#1_CB1112#4_day8_CW_2014_03_01__15_57_25___8___6,1,CB1112,4,8,CW,2014-03-01 15:57:25,16
/Volumes/behavgenom_archive$/Celine/results/CB1112,24_R#1_CB1112#4_day9_CW_2014_03_02__16_03_44___8___6,1,CB1112,4,9,CW,2014-03-02 16:03:44,17
/Volumes/behavgenom_archive$/Celine/results/CB1112,24_R#1_CB1112#4_day10_CW_2014_03_03__10_29_01___8___6,1,CB1112,4,10,CW,2014-03-03 10:29:01,18
/Volumes/behavgenom_archive$/Celine/results/CB1112,24_R#1_CB1112#4_day11_CW_2014_03_04__11_26_22___8___6,1,CB1112,4,11,CW,2014-03-04 11:26:22,19
/Volumes/behavgenom_archive$/Celine/results/CB1112,6_R#1_CB1112#6_L4_CW_2014_02_21__09_56_17___6___2,1,CB1112,6,0,CW,2014-02-21 09:56:17,20
/Volumes/behavgenom_archive$/Celine/results/CB1112,6_R#1_CB1112#6_day2_CW_2014_02_23__11_54_40___6___2,1,CB1112,6,2,CW,2014-02-23 11:54:40,21
/Volumes/behavgenom_archive$/Celine/results/CB1112,6_R#1_CB1112#6_day4_CCW_2014_02_25__10_11_53___6___2,1,CB1112,6,4,CCW,2014-02-25 10:11:53,22
/Volumes/behavgenom_archive$/Celine/results/CB1112,6_R#1_CB1112#6_day5_CW_2014_02_26__09_56_11___6___2,1,CB1112,6,5,CW,2014-02-26 09:56:11,23
/Volumes/behavgenom_archive$/Celine/results/CB1112,6_R#1_CB1112#6_day6_CW_2014_02_27__08_32_20___6___2,1,CB1112,6,6,CW,2014-02-27 08:32:20,24
/Volumes/behavgenom_archive$/Celine/results/CB1112,6_R#1_CB1112#6_day7_CW_2014_02_28__08_26_26___6___2,1,CB1112,6,7,CW,2014-02-28 08:26:26,25
/Volumes/behavgenom_archive$/Celine/results/CB1112,6_R#1_CB1112#6_day8_CW_2014_03_01__14_16_29___6___2,1,CB1112,6,8,CW,2014-03-01 14:16:29,26
/Volumes/behavgenom_archive$/Celine/results/CB1112,6_R#1_CB1112#6_day9_CW_2014_03_02__11_55_09___6___2,1,CB1112,6,9,CW,2014-03-02 11:55:09,27
/Volumes/behavgenom_archive$/Celine/results/CB1112,32_R#1_CB1112#7_L4_CCW_2014_02_21__13_55_40___8___8,1,CB1112,7,0,CCW,2014-02-21 13:55:40,28
/Volumes/behavgenom_archive$/Celine/results/CB1112,32_R#1_CB1112#7_day1_CCW_2014_02_22__15_49_04___8___8,1,CB1112,7,1,CCW,2014-02-22 15:49:04,29
/Volumes/behavgenom_archive$/Celine/results/CB1112,32_R#1_CB1112#7_day2_CCW_2014_02_23__15_16_26___8___8,1,CB1112,7,2,CCW,2014-02-23 15:16:26,30
/Volumes/behavgenom_archive$/Celine/results/CB1112,32_R#1_CB1112#7_day3_CW_2014_02_24__15_21_01___8___8,1,CB1112,7,3,CW,2014-02-24 15:21:01,31
/Volumes/behavgenom_archive$/Celine/results/CB1112,32_R#1_CB1112#7_day4_CCW_2014_02_25__14_11_43___8___8,1,CB1112,7,4,CCW,2014-02-25 14:11:43,32
/Volumes/behavgenom_archive$/Celine/results/CB1112,32_R#1_CB1112#7_day5_CCW_2014_02_26__13_07_00___8___7,1,CB1112,7,5,CCW,2014-02-26 13:07:00,33
/Volumes/behavgenom_archive$/Celine/results/CB1112,32_R#1_CB1112#7_day6_CCW_2014_02_27__11_04_51___8___7,1,CB1112,7,6,CCW,2014-02-27 11:04:51,34
/Volumes/behavgenom_archive$/Celine/results/CB1112,32_R#1_CB1112#7_day7_CCW_2014_02_28__10_41_15___8___7,1,CB1112,7,7,CCW,2014-02-28 10:41:15,35
/Volumes/behavgenom_archive$/Celine/results/CB1112,32_R#1_CB1112#7_day8_CW_2014_03_01__17_22_44___8___8,1,CB1112,7,8,CW,2014-03-01 17:22:44,36
/Volumes/behavgenom_archive$/Celine/results/CB1112,32_R#1_CB1112#7_day9_CCW_2014_03_02__16_49_34___8___8,1,CB1112,7,9,CCW,2014-03-02 16:49:34,37
/Volumes/behavgenom_archive$/Celine/results/CB1112,32_R#1_CB1112#7_day10_CCW_2014_03_03__11_05_23___8___8,1,CB1112,7,10,CCW,2014-03-03 11:05:23,38
/Volumes/behavgenom_archive$/Celine/results/CB1112,29_R#2_CB1112#1_L4_CW_2014_03_18__10_44_12___1___8,2,CB1112,1,0,CW,2014-03-18 10:44:12,39
/Volumes/behavgenom_archive$/Celine/results/CB1112,29_R#2_CB1112#1_Day1_CCW_2014_03_19__10_12_39___1___8,2,CB1112,1,1,CCW,2014-03-19 10:12:39,40
/Volumes/behavgenom_archive$/Celine/results/CB1112,29_R#2_CB1112#1_Day2_CCW_2014_03_20__10_39_44___1___8,2,CB1112,1,2,CCW,2014-03-20 10:39:44,41
/Volumes/behavgenom_archive$/Celine/results/CB1112,29_R#2_CB1112#1_Day3_CCW_2014_03_21__11_50_15___1___8,2,CB1112,1,3,CCW,2014-03-21 11:50:15,42
/Volumes/behavgenom_archive$/Celine/results/CB1112,29_R#2_CB1112#1_day4_CCW_2014_03_22__15_31_55___1___9,2,CB1112,1,4,CCW,2014-03-22 15:31:55,43
/Volumes/behavgenom_archive$/Celine/results/CB1112,29_R#2_CB1112#1_day5_CW_2014_03_23__17_06_40___1___8,2,CB1112,1,5,CW,2014-03-23 17:06:40,44
/Volumes/behavgenom_archive$/Celine/results/CB1112,29_R#2_CB1112#1_day6_CW_2014_03_24__13_05_36___1___8,2,CB1112,1,6,CW,2014-03-24 13:05:36,45
/Volumes/behavgenom_archive$/Celine/results/CB1112,29_R#2_CB1112#1_Day7_CCW_2014_03_25__10_17_53___1___8,2,CB1112,1,7,CCW,2014-03-25 10:17:53,46
/Volumes/behavgenom_archive$/Celine/results/CB1112,29_R#2_CB1112#1_Day8_CCW_2014_03_26__10_10_38___1___7,2,CB1112,1,8,CCW,2014-03-26 10:10:38,47
/Volumes/behavgenom_archive$/Celine/results/CB1112,29_R#2_CB1112#1_day9_CW_2014_03_27__13_39_50___1___8,2,CB1112,1,9,CW,2014-03-27 13:39:50,48
/Volumes/behavgenom_archive$/Celine/results/CB1112,29_R#2_CB1112#1_Day10_CW_2014_03_28__12_59_16___1___8,2,CB1112,1,10,CW,2014-03-28 12:59:16,49
/Volumes/behavgenom_archive$/Celine/results/CB1112,29_R#2_CB1112#1_day11_CW_2014_03_29__16_28_29___1___8,2,CB1112,1,11,CW,2014-03-29 16:28:29,50
/Volumes/behavgenom_archive$/Celine/results/CB1112,29_R#2_CB1112#1_day12_CW_2014_03_30__15_36_55___1___8,2,CB1112,1,12,CW,2014-03-30 15:36:55,51
/Volumes/behavgenom_archive$/Celine/results/CB1112,29_R#2_CB1112#1_day13_CCW_2014_03_31__13_22_35___1___8,2,CB1112,1,13,CCW,2014-03-31 13:22:35,52
/Volumes/behavgenom_archive$/Celine/results/CB1112,29_R#2_CB1112#1_day14_CCW_2014_04_01__12_41_50___1___8,2,CB1112,1,14,CCW,2014-04-01 12:41:50,53
/Volumes/behavgenom_archive$/Celine/results/CB1112,29_R#2_CB1112#1_day15_CCW_2014_04_02__12_55_23___1___8,2,CB1112,1,15,CCW,2014-04-02 12:55:23,54
/Volumes/behavgenom_archive$/Celine/results/CB1112,29_R#2_CB1112#1_Day17_CW_2014_04_04__11_14_04___1___8,2,CB1112,1,17,CW,2014-04-04 11:14:04,55
/Volumes/behavgenom_archive$/Celine/results/CB1112,29_R#2_CB1112#1_day18_CW_2014_04_05__15_18_48___1___8,2,CB1112,1,18,CW,2014-04-05 15:18:48,56
/Volumes/behavgenom_archive$/Celine/results/CB1112,29_R#2_CB1112#1_day19_CCW_2014_04_06__16_20_41___1___8,2,CB1112,1,19,CCW,2014-04-06 16:20:41,57
/Volumes/behavgenom_archive$/Celine/results/CB1112,55_R#2_CB1112#2_L4_CCW_2014_03_05__15_53_18___7___14,2,CB1112,2,0,CCW,2014-03-05 15:53:18,58
/Volumes/behavgenom_archive$/Celine/results/CB1112,55_R#2_CB1112#2_day1_CW_2014_03_06__15_14_26___7___14,2,CB1112,2,1,CW,2014-03-06 15:14:26,59
/Volumes/behavgenom_archive$/Celine/results/CB1112,55_R#2_CB1112#2_day2_CW_2014_03_07__14_53_33___7___14,2,CB1112,2,2,CW,2014-03-07 14:53:33,60
/Volumes/behavgenom_archive$/Celine/results/CB1112,55_R#2_CB1112#2_day4_CW_2014_03_09__15_13_23___7___14,2,CB1112,2,4,CW,2014-03-09 15:13:23,61
/Volumes/behavgenom_archive$/Celine/results/CB1112,55_R#2_CB1112#2_day5_CW_2014_03_10__16_36_09___7___14,2,CB1112,2,5,CW,2014-03-10 16:36:09,62
/Volumes/behavgenom_archive$/Celine/results/CB1112,55_R#2_CB1112#2_day6_CW_2014_03_11__14_49_15___7___14,2,CB1112,2,6,CW,2014-03-11 14:49:15,63
/Volumes/behavgenom_archive$/Celine/results/CB1112,55_R#2_CB1112#2_day7_CW_2014_03_12__14_23_51___7___14,2,CB1112,2,7,CW,2014-03-12 14:23:51,64
/Volumes/behavgenom_archive$/Celine/results/CB1112,55_R#2_CB1112#2_Day8_CCW_2014_03_13__14_46_15___7___14,2,CB1112,2,8,CCW,2014-03-13 14:46:15,65
/Volumes/behavgenom_archive$/Celine/results/CB1112,55_R#2_CB1112#2_day9_CCW_2014_03_14__14_18_12___7___14,2,CB1112,2,9,CCW,2014-03-14 14:18:12,66
/Volumes/behavgenom_archive$/Celine/results/CB1112,55_R#2_CB1112#2_day10_CW_2014_03_15__18_28_20___7___14,2,CB1112,2,10,CW,2014-03-15 18:28:20,67
/Volumes/behavgenom_archive$/Celine/results/CB1112,55_R#2_CB1112#2_day11_CW_2014_03_16__17_37_11___7___14,2,CB1112,2,11,CW,2014-03-16 17:37:11,68
/Volumes/behavgenom_archive$/Celine/results/CB1112,55_R#2_CB1112#2_day12_CW_2014_03_17__16_37_59___7___13,2,CB1112,2,12,CW,2014-03-17 16:37:59,69
/Volumes/behavgenom_archive$/Celine/results/CB1112,56_R#2_CB1112#3_L4_CCW_2014_03_03__15_35_22___8___14,2,CB1112,3,0,CCW,2014-03-03 15:35:22,70
/Volumes/behavgenom_archive$/Celine/results/CB1112,56_R#2_CB1112#3_day1_CW_2014_03_04__15_29_43___8___14,2,CB1112,3,1,CW,2014-03-04 15:29:43,71
/Volumes/behavgenom_archive$/Celine/results/CB1112,56_R#2_CB1112#3_day2_CW_2014_03_05__15_54_15___8___14,2,CB1112,3,2,CW,2014-03-05 15:54:15,72
/Volumes/behavgenom_archive$/Celine/results/CB1112,56_R#2_CB1112#3_day3_CW_2014_03_06__15_15_38___8___14,2,CB1112,3,3,CW,2014-03-06 15:15:38,73
/Volumes/behavgenom_archive$/Celine/results/CB1112,56_R#2_CB1112#3_day4_CCW_2014_03_07__14_54_19___8___14,2,CB1112,3,4,CCW,2014-03-07 14:54:19,74
/Volumes/behavgenom_archive$/Celine/results/CB1112,56_R#2_CB1112#3_day5_CCW_2014_03_08__17_50_36___8___14,2,CB1112,3,5,CCW,2014-03-08 17:50:36,75
/Volumes/behavgenom_archive$/Celine/results/CB1112,56_R#2_CB1112#3_day6_CW_2014_03_09__15_13_37___8___14,2,CB1112,3,6,CW,2014-03-09 15:13:37,76
/Volumes/behavgenom_archive$/Celine/results/CB1112,56_R#2_CB1112#3_day7_CCW_2014_03_10__16_36_57___8___14,2,CB1112,3,7,CCW,2014-03-10 16:36:57,77
/Volumes/behavgenom_archive$/Celine/results/CB1112,56_R#2_CB1112#3_day8_CCW_2014_03_11__14_49_44___8___14,2,CB1112,3,8,CCW,2014-03-11 14:49:44,78
/Volumes/behavgenom_archive$/Celine/results/CB1112,56_R#2_CB1112#3_day9_CCW_2014_03_12__14_24_01___8___14,2,CB1112,3,9,CCW,2014-03-12 14:24:01,79
/Volumes/behavgenom_archive$/Celine/results/CB1112,56_R#2_CB1112#3_day13_CW_2014_03_16__17_37_24___8___14,2,CB1112,3,13,CW,2014-03-16 17:37:24,80
/Volumes/behavgenom_archive$/Celine/results/CB1112,48_R#2_CB1112#4_L4_CW_2014_03_08__17_08_36___8___12,2,CB1112,4,0,CW,2014-03-08 17:08:36,81
/Volumes/behavgenom_archive$/Celine/results/CB1112,48_R#2_CB1112#4_day1_CCW_2014_03_09__14_36_23___8___12,2,CB1112,4,1,CCW,2014-03-09 14:36:23,82
/Volumes/behavgenom_archive$/Celine/results/CB1112,48_R#2_CB1112#4_day3_CW_2014_03_11__14_05_45___8___12,2,CB1112,4,3,CW,2014-03-11 14:05:45,83
/Volumes/behavgenom_archive$/Celine/results/CB1112,48_R#2_CB1112#4_day4_CCW_2014_03_12__13_25_54___8___12,2,CB1112,4,4,CCW,2014-03-12 13:25:54,84
/Volumes/behavgenom_archive$/Celine/results/CB1112,48_R#2_CB1112#4_day5_CCW_2014_03_13__14_03_38___8___12,2,CB1112,4,5,CCW,2014-03-13 14:03:38,85
/Volumes/behavgenom_archive$/Celine/results/CB1112,46_R#2_CB1112#5_L4_CW_2014_03_19__13_50_54___6___12,2,CB1112,5,0,CW,2014-03-19 13:50:54,86
/Volumes/behavgenom_archive$/Celine/results/CB1112,46_R#2_CB1112#5_day1_CCW_2014_03_20__13_37_18___6___12,2,CB1112,5,1,CCW,2014-03-20 13:37:18,87
/Volumes/behavgenom_archive$/Celine/results/CB1112,46_R#2_CB1112#5_day5_CCW_2014_03_24__14_18_16___6___12,2,CB1112,5,5,CCW,2014-03-24 14:18:16,88
/Volumes/behavgenom_archive$/Celine/results/CB1112,46_R#2_CB1112#5_day6_CW_2014_03_25__14_00_41___6___12,2,CB1112,5,6,CW,2014-03-25 14:00:41,89
/Volumes/behavgenom_archive$/Celine/results/CB1112,46_R#2_CB1112#5_day7_CW_2014_03_26__13_04_36___6___12,2,CB1112,5,7,CW,2014-03-26 13:04:36,90
/Volumes/behavgenom_archive$/Celine/results/CB1112,46_R#2_CB1112#5_Day8_CCW_2014_03_27__15_19_49___6___12,2,CB1112,5,8,CCW,2014-03-27 15:19:49,91
/Volumes/behavgenom_archive$/Celine/results/CB1112,46_R#2_CB1112#5_day9_CW_2014_03_28__14_30_01___6___12,2,CB1112,5,9,CW,2014-03-28 14:30:01,92
/Volumes/behavgenom_archive$/Celine/results/CB1112,46_R#2_CB1112#5_day10_CW_2014_03_29__18_30_15___6___12,2,CB1112,5,10,CW,2014-03-29 18:30:15,93
/Volumes/behavgenom_archive$/Celine/results/CB1112,6_R#2_CB1112#6_L4_CCW_2014_03_05__10_04_19___6___2,2,CB1112,6,0,CCW,2014-03-05 10:04:19,94
/Volumes/behavgenom_archive$/Celine/results/CB1112,6_R#2_CB1112#6_day1_CCW_2014_03_06__09_11_38___6___2,2,CB1112,6,1,CCW,2014-03-06 09:11:38,95
/Volumes/behavgenom_archive$/Celine/results/CB1112,6_R#2_CB1112#6_day2_CCW_2014_03_07__08_58_46___6___2,2,CB1112,6,2,CCW,2014-03-07 08:58:46,96
/Volumes/behavgenom_archive$/Celine/results/CB1112,6_R#2_CB1112#6_day3_CW_2014_03_08__11_01_49___6___2,2,CB1112,6,3,CW,2014-03-08 11:01:49,97
/Volumes/behavgenom_archive$/Celine/results/CB1112,6_R#2_CB1112#6_day5_CCW_2014_03_10__11_02_15___6___2,2,CB1112,6,5,CCW,2014-03-10 11:02:15,98
/Volumes/behavgenom_archive$/Celine/results/CB1112,6_R#2_CB1112#6_day6_CW_2014_03_11__08_37_55___6___2,2,CB1112,6,6,CW,2014-03-11 08:37:55,99
/Volumes/behavgenom_archive$/Celine/results/CB1112,6_R#2_CB1112#6_day7_CW_2014_03_12__08_24_04___6___2,2,CB1112,6,7,CW,2014-03-12 08:24:04,100
/Volumes/behavgenom_archive$/Celine/results/CB1112,6_R#2_CB1112#6_Day8_CW_2014_03_13__08_31_26___6___2,2,CB1112,6,8,CW,2014-03-13 08:31:26,101
/Volumes/behavgenom_archive$/Celine/results/CB1112,6_R#2_CB1112#6_day9_CW_2014_03_14__08_27_08___6___2,2,CB1112,6,9,CW,2014-03-14 08:27:08,102
/Volumes/behavgenom_archive$/Celine/results/CB1112,23_R#2_CB1112#7_day1_CCW_2014_03_07__10_34_34___7___6,2,CB1112,7,1,CCW,2014-03-07 10:34:34,103
/Volumes/behavgenom_archive$/Celine/results/CB1112,23_R#2_CB1112#7_day2_CW_2014_03_08__12_35_01___7___6,2,CB1112,7,2,CW,2014-03-08 12:35:01,104
/Volumes/behavgenom_archive$/Celine/results/CB1112,23_R#2_CB1112#7_day3_CCW_2014_03_09__11_13_29___7___6,2,CB1112,7,3,CCW,2014-03-09 11:13:29,105
/Volumes/behavgenom_archive$/Celine/results/CB1112,23_R#2_CB1112#7_day4_CW_2014_03_10__13_43_17___7___6,2,CB1112,7,4,CW,2014-03-10 13:43:17,106
/Volumes/behavgenom_archive$/Celine/results/CB1112,23_R#2_CB1112#7_day5_CCW_2014_03_11__10_10_56___7___6,2,CB1112,7,5,CCW,2014-03-11 10:10:56,107
/Volumes/behavgenom_archive$/Celine/results/CB1112,23_R#2_CB1112#7_day6_CCW_2014_03_12__09_44_57___7___6,2,CB1112,7,6,CCW,2014-03-12 09:44:57,108
/Volumes/behavgenom_archive$/Celine/results/CB1112,23_R#2_CB1112#7_Day7_CCW_2014_03_13__09_58_30___7___6,2,CB1112,7,7,CCW,2014-03-13 09:58:30,109
/Volumes/behavgenom_archive$/Celine/results/CB1112,23_R#2_CB1112#7_day8_CCW_2014_03_14__09_44_46___7___6,2,CB1112,7,8,CCW,2014-03-14 09:44:46,110
/Volumes/behavgenom_archive$/Celine/results/CB1112,23_R#2_CB1112#7_day9_CCW_2014_03_15__15_30_29___7___6,2,CB1112,7,9,CCW,2014-03-15 15:30:29,111
/Volumes/behavgenom_archive$/Celine/results/CB1112,23_R#2_CB1112#7_day10_CW_2014_03_16__14_48_28___7___6,2,CB1112,7,10,CW,2014-03-16 14:48:28,112
/Volumes/behavgenom_archive$/Celine/results/CB1112,23_R#2_CB1112#7_day11_CW_2014_03_17__13_55_10___7___5,2,CB1112,7,11,CW,2014-03-17 13:55:10,113
/Volumes/behavgenom_archive$/Celine/results/CB1112,23_R#2_CB1112#7_day12_CCW_2014_03_18__09_54_45___7___6,2,CB1112,7,12,CCW,2014-03-18 09:54:45,114
/Volumes/behavgenom_archive$/Celine/results/CB1112,23_R#2_CB1112#7_Day13_CCW_2014_03_19__09_38_44___7___6,2,CB1112,7,13,CCW,2014-03-19 09:38:44,115
/Volumes/behavgenom_archive$/Celine/results/CB1112,23_R#2_CB1112#7_Day14_CCW_2014_03_20__09_49_40___7___6,2,CB1112,7,14,CCW,2014-03-20 09:49:40,116
/Volumes/behavgenom_archive$/Celine/results/CB1112,23_R#2_CB1112#7_day16_CCW_2014_03_22__14_55_59___7___6,2,CB1112,7,16,CCW,2014-03-22 14:55:59,117
/Volumes/behavgenom_archive$/Celine/results/CB1112,23_R#2_CB1112#7_day17_CCW_2014_03_23__16_10_59___7___6,2,CB1112,7,17,CCW,2014-03-23 16:10:59,118
/Volumes/behavgenom_archive$/Celine/results/CB1112,18_R#3_CB1112#1_L4_CW_2014_03_17__13_34_12___6___4,3,CB1112,1,0,CW,2014-03-17 13:34:12,119
/Volumes/behavgenom_archive$/Celine/results/CB1112,18_R#3_CB1112#1_day1_CCW_2014_03_18__09_35_44___6___5,3,CB1112,1,1,CCW,2014-03-18 09:35:44,120
/Volumes/behavgenom_archive$/Celine/results/CB1112,18_R#3_CB1112#1_Day2_CCW_2014_03_19__09_20_23___6___5,3,CB1112,1,2,CCW,2014-03-19 09:20:23,121
/Volumes/behavgenom_archive$/Celine/results/CB1112,18_R#3_CB1112#1_Day3_CW_2014_03_20__09_30_43___6___5,3,CB1112,1,3,CW,2014-03-20 09:30:43,122
/Volumes/behavgenom_archive$/Celine/results/CB1112,18_R#3_CB1112#1_Day4_CW_2014_03_21__10_06_15___6___5,3,CB1112,1,4,CW,2014-03-21 10:06:15,123
/Volumes/behavgenom_archive$/Celine/results/CB1112,18_R#3_CB1112#1_day5_CCW_2014_03_22__14_34_55___6___5,3,CB1112,1,5,CCW,2014-03-22 14:34:55,124
/Volumes/behavgenom_archive$/Celine/results/CB1112,18_R#3_CB1112#1_day6_CW_2014_03_23__15_51_48___6___5,3,CB1112,1,6,CW,2014-03-23 15:51:48,125
/Volumes/behavgenom_archive$/Celine/results/CB1112,18_R#3_CB1112#1_day7_CW_2014_03_24__11_15_51___6___5,3,CB1112,1,7,CW,2014-03-24 11:15:51,126
/Volumes/behavgenom_archive$/Celine/results/CB1112,18_R#3_CB1112#1_Day8_CCW_2014_03_25__09_19_49___6___5,3,CB1112,1,8,CCW,2014-03-25 09:19:49,127
/Volumes/behavgenom_archive$/Celine/results/CB1112,18_R#3_CB1112#1_day9_CCW_2014_03_26__09_17_38___6___5,3,CB1112,1,9,CCW,2014-03-26 09:17:38,128
/Volumes/behavgenom_archive$/Celine/results/CB1112,18_R#3_CB1112#1_day11_CCW_2014_03_28__10_26_35___6___5,3,CB1112,1,11,CCW,2014-03-28 10:26:35,129
/Volumes/behavgenom_archive$/Celine/results/CB1112,18_R#3_CB1112#1_day12_CCW_2014_03_29__15_14_05___6___5,3,CB1112,1,12,CCW,2014-03-29 15:14:05,130
/Volumes/behavgenom_archive$/Celine/results/CB1112,18_R#3_CB1112#1_day13_CCW_2014_03_30__14_38_07___6___5,3,CB1112,1,13,CCW,2014-03-30 14:38:07,131
/Volumes/behavgenom_archive$/Celine/results/CB1112,18_R#3_CB1112#1_day14_CCW_2014_03_31__10_24_17___6___5,3,CB1112,1,14,CCW,2014-03-31 10:24:17,132
/Volumes/behavgenom_archive$/Celine/results/CB1112,18_R#3_CB1112#1_day15_CCW_2014_04_01__10_24_09___6___5,3,CB1112,1,15,CCW,2014-04-01 10:24:09,133
/Volumes/behavgenom_archive$/Celine/results/CB1112,18_R#3_CB1112#1_Day16_CCW_2014_04_02__10_30_05___6___5,3,CB1112,1,16,CCW,2014-04-02 10:30:05,134
/Volumes/behavgenom_archive$/Celine/results/CB1112,18_R#3_CB1112#1_day17_CCW_2014_04_03__10_30_29___6___5,3,CB1112,1,17,CCW,2014-04-03 10:30:29,135
/Volumes/behavgenom_archive$/Celine/results/CB1112,18_R#3_CB1112#1_Day18_CCW_2014_04_04__10_04_27___6___5,3,CB1112,1,18,CCW,2014-04-04 10:04:27,136
/Volumes/behavgenom_archive$/Celine/results/CB1112,18_R#3_CB1112#1_day19_CCW_2014_04_05__14_15_44___6___5,3,CB1112,1,19,CCW,2014-04-05 14:15:44,137
/Volumes/behavgenom_archive$/Celine/results/CB1112,18_R#3_CB1112#1_day20_CCW_2014_04_06__15_25_42___6___5,3,CB1112,1,20,CCW,2014-04-06 15:25:42,138
/Volumes/behavgenom_archive$/Celine/results/CB1112,44_R#3_CB1112#2_Day1_CCW_2014_04_22__12_25_22___8___11,3,CB1112,2,1,CCW,2014-04-22 12:25:22,139
/Volumes/behavgenom_archive$/Celine/results/CB1112,44_R#3_CB1112#2_Day2_CW_2014_04_23__13_30_26___8___11,3,CB1112,2,2,CW,2014-04-23 13:30:26,140
/Volumes/behavgenom_archive$/Celine/results/CB1112,44_R#3_CB1112#2_Day3_CCW_2014_04_24__12_42_45___8___10,3,CB1112,2,3,CCW,2014-04-24 12:42:45,141
/Volumes/behavgenom_archive$/Celine/results/CB1112,44_R#3_CB1112#2_Day4_CW_2014_04_25__11_00_56___8___8,3,CB1112,2,4,CW,2014-04-25 11:00:56,142
/Volumes/behavgenom_archive$/Celine/results/CB1112,44_R#3_CB1112#2_Day7_CCW_2014_04_28__13_09_23___8___10,3,CB1112,2,7,CCW,2014-04-28 13:09:23,143
/Volumes/behavgenom_archive$/Celine/results/CB1112,44_R#3_CB1112#2_Day10_CW_2014_05_01__12_41_33___8___7,3,CB1112,2,10,CW,2014-05-01 12:41:33,144
/Volumes/behavgenom_archive$/Celine/results/CB1112,44_R#3_CB1112#2_day13_CCW_2014_05_04__15_18_41___8___5,3,CB1112,2,13,CCW,2014-05-04 15:18:41,145
/Volumes/behavgenom_archive$/Celine/results/CB1112,44_R#3_CB1112#2_day14_CCW_2014_05_05__13_32_43___8___5,3,CB1112,2,14,CCW,2014-05-05 13:32:43,146
/Volumes/behavgenom_archive$/Celine/results/CB1112,44_R#3_CB1112#2_Day15_CCW_2014_05_06__09_31_13___8___4,3,CB1112,2,15,CCW,2014-05-06 09:31:13,147
/Volumes/behavgenom_archive$/Celine/results/CB1112,44_R#3_CB1112#2_Day16_CW_2014_05_07__09_14_35___8___5,3,CB1112,2,16,CW,2014-05-07 09:14:35,148
